virtual_time,trader_id,trader_type,balance
1506.58,S05,ZIP,52.0
1506.58,S06,ZIC,0.0
1506.58,S07,SHVR,0.0
1566.88,B00,GA,0.0
1566.88,B01,ZIC,0.0
1566.88,B02,ZIC,0.0
1566.88,B03,ZIP,0.0
1566.88,B04,GVWY,0.0
1566.88,B05,SHVR,71.0
1566.88,B06,ZIP,416.0
1566.88,B07,RL,541.0
1566.88,B08,GVWY,872.0
1566.88,B09,SHVR,1544.0
1566.88,S00,SHVR,1962.0
1566.88,S01,ZIP,1738.0
1566.88,S02,GVWY,924.0
1566.88,S03,ZIC,394.0
1566.88,S04,GVWY,58.0
1566.88,S05,ZIP,54.0
1566.88,S06,ZIC,0.0
1566.88,S07,SHVR,0.0
1627.18,B00,GA,0.0
1627.18,B01,ZIC,0.0
1627.18,B02,ZIC,0.0
1627.18,B03,ZIP,0.0
1627.18,B04,GVWY,0.0
1627.18,B05,SHVR,71.0
1627.18,B06,ZIP,445.0
1627.18,B07,RL,588.0
1627.18,B08,GVWY,907.0
1627.18,B09,SHVR,1641.0
1627.18,S00,SHVR,2084.0
1627.18,S01,ZIP,1842.0
1627.18,S02,GVWY,960.0
1627.18,S03,ZIC,413.0
1627.18,S04,GVWY,58.0
1627.18,S05,ZIP,55.0
1627.18,S06,ZIC,0.0
1627.18,S07,SHVR,0.0
1687.66,B00,GA,0.0
1687.66,B01,ZIC,0.0
1687.66,B02,ZIC,0.0
1687.66,B03,ZIP,0.0
1687.66,B04,GVWY,0.0
1687.66,B05,SHVR,73.0
1687.66,B06,ZIP,456.0
1687.66,B07,RL,604.0
1687.66,B08,GVWY,931.0
1687.66,B09,SHVR,1676.0
1687.66,S00,SHVR,2163.0
1687.66,S01,ZIP,1842.0
1687.66,S02,GVWY,990.0
1687.66,S03,ZIC,423.0
1687.66,S04,GVWY,58.0
1687.66,S05,ZIP,55.0
1687.66,S06,ZIC,0.0
1687.66,S07,SHVR,0.0
1748.12,B00,GA,0.0
1748.12,B01,ZIC,0.0
1748.12,B02,ZIC,0.0
1748.12,B03,ZIP,0.0
1748.12,B04,GVWY,0.0
1748.12,B05,SHVR,79.0
1748.12,B06,ZIP,460.0
1748.12,B07,RL,647.0
1748.12,B08,GVWY,988.0
1748.12,B09,SHVR,1729.0
1748.12,S00,SHVR,2207.0
1748.12,S01,ZIP,1910.0
1748.12,S02,GVWY,1016.0
1748.12,S03,ZIC,448.0
1748.12,S04,GVWY,58.0
1748.12,S05,ZIP,55.0
1748.12,S06,ZIC,0.0
1748.12,S07,SHVR,0.0
1808.14,B00,GA,0.0
1808.14,B01,ZIC,0.0
1808.14,B02,ZIC,0.0
1808.14,B03,ZIP,0.0
1808.14,B04,GVWY,0.0
1808.14,B05,SHVR,80.0
1808.14,B06,ZIP,500.0
1808.14,B07,RL,663.0
1808.14,B08,GVWY,1035.0
1808.14,B09,SHVR,1804.0
1808.14,S00,SHVR,2280.0
1808.14,S01,ZIP,1974.0
1808.14,S02,GVWY,1046.0
1808.14,S03,ZIC,465.0
1808.14,S04,GVWY,58.0
1808.14,S05,ZIP,55.0
1808.14,S06,ZIC,0.0
1808.14,S07,SHVR,0.0
1868.47,B00,GA,0.0
1868.47,B01,ZIC,0.0
1868.47,B02,ZIC,0.0
1868.47,B03,ZIP,0.0
1868.47,B04,GVWY,0.0
1868.47,B05,SHVR,83.0
1868.47,B06,ZIP,521.0
1868.47,B07,RL,685.0
1868.47,B08,GVWY,1083.0
1868.47,B09,SHVR,1917.0
1868.47,S00,SHVR,2385.0
1868.47,S01,ZIP,2036.0
1868.47,S02,GVWY,1085.0
1868.47,S03,ZIC,479.0
1868.47,S04,GVWY,58.0
1868.47,S05,ZIP,55.0
1868.47,S06,ZIC,0.0
1868.47,S07,SHVR,0.0
1928.85,B00,GA,0.0
1928.85,B01,ZIC,0.0
1928.85,B02,ZIC,0.0
1928.85,B03,ZIP,0.0
1928.85,B04,GVWY,0.0
1928.85,B05,SHVR,90.0
1928.85,B06,ZIP,538.0
1928.85,B07,RL,706.0
1928.85,B08,GVWY,1131.0
1928.85,B09,SHVR,1948.0
1928.85,S00,SHVR,2462.0
1928.85,S01,ZIP,2100.0
1928.85,S02,GVWY,1117.0
1928.85,S03,ZIC,488.0
1928.85,S04,GVWY,59.0
1928.85,S05,ZIP,55.0
1928.85,S06,ZIC,0.0
1928.85,S07,SHVR,0.0
1989.21,B00,GA,0.0
1989.21,B01,ZIC,0.0
1989.21,B02,ZIC,0.0
1989.21,B03,ZIP,0.0
1989.21,B04,GVWY,0.0
1989.21,B05,SHVR,90.0
1989.21,B06,ZIP,557.0
1989.21,B07,RL,732.0
1989.21,B08,GVWY,1164.0
