B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 3
B13, Trade, 241.268, 98, B13, S03, 1
B13, Trade, 251.317, 102, B13, S03, 1
B13, Trade, 254.341, 104, B13, S02, 1
B13, Trade, 263.317, 107, B13, S01, 1
B13, Trade, 275.463, 103, B13, S00, 1
B13, Trade, 288.390, 103, B13, S05, 1
B13, Trade, 303.512, 102, B13, S01, 1
B13, Trade, 311.610, 102, B13, S03, 1
B13, Trade, 329.098, 103, B13, S04, 1
B13, Trade, 346.927, 101, B13, S04, 1
B13, Trade, 359.098, 103, B13, S00, 1
B13, Trade, 371.683, 100, B13, S01, 1
B13, Trade, 385.293, 101, B13, S08, 1
B13, Trade, 405.707, 99, S09, B13, 1
B13, Trade, 425.098, 99, B13, S02, 1
B13, Trade, 432.024, 106, B13, S00, 1
B13, Trade, 438.244, 105, B13, S01, 1
B13, Trade, 452.341, 103, B13, S05, 1
B13, Trade, 459.146, 97, B13, S01, 1
B13, Trade, 475.610, 104, B13, S09, 1
B13, Trade, 482.244, 104, B13, S05, 1
B13, Trade, 490.244, 105, B13, S02, 1
B13, Trade, 500.512, 106, B13, S03, 1
B13, Trade, 508.732, 99, B13, S00, 1
B13, Trade, 528.000, 108, B13, S10, 1
B13, Trade, 539.415, 99, B13, S05, 1
B13, Trade, 564.659, 106, B13, S09, 1
B13, Trade, 566.195, 105, S07, B13, 1
B13, Trade, 583.561, 112, S09, B13, 1
B13, Trade, 590.976, 109, B13, S11, 1
B13, Trade, 607.780, 101, B13, S01, 1
B13, Trade, 620.439, 108, B13, S04, 1
B13, Trade, 629.780, 106, B13, S10, 1
B13, Trade, 650.732, 112, B13, S08, 1
B13, Trade, 656.707, 100, B13, S01, 1
B13, Trade, 672.317, 101, B13, S06, 1
B13, Trade, 680.561, 99, B13, S01, 1
B13, Trade, 692.366, 100, B13, S04, 1
B13, Trade, 705.390, 100, B13, S08, 1
B13, Trade, 721.829, 95, B13, S00, 1
B13, Trade, 733.049, 107, S08, B13, 1
B13, Trade, 739.512, 114, B13, S01, 1
B13, Trade, 748.659, 100, B13, S07, 1
B13, Trade, 756.951, 103, B13, S01, 1
B13, Trade, 782.220, 104, B13, S08, 1
B13, Trade, 792.220, 105, B13, S01, 1
B13, Trade, 801.659, 103, B13, S03, 1
B13, Trade, 816.268, 108, B13, S11, 1
B13, Trade, 820.756, 104, B13, S00, 1
B13, Trade, 830.610, 100, B13, S08, 1
B13, Trade, 840.707, 105, B13, S02, 1
B13, Trade, 859.098, 102, B13, S07, 1
B13, Trade, 870.317, 95, B13, S03, 1
B13, Trade, 880.439, 109, B13, S01, 1
B13, Trade, 898.146, 102, B13, S03, 1
B13, Trade, 909.951, 102, B13, S09, 1
B13, Trade, 918.878, 106, S06, B13, 1
B13, Trade, 934.951, 105, B13, S05, 1
B13, Trade, 937.756, 105, B13, S06, 1
B13, Trade, 963.683, 104, B13, S07, 1
B13, Trade, 966.805, 103, B13, S04, 1
B13, Trade, 979.707, 107, B13, S00, 1
B13, Trade, 992.512, 93, B13, S02, 1
B13, Trade, 1003.756, 99, B13, S07, 1
B13, Trade, 1019.171, 102, B13, S02, 1
B13, Trade, 1025.098, 104, B13, S03, 1
B13, Trade, 1034.293, 104, B13, S05, 1
B13, Trade, 1041.341, 108, B13, S07, 1
B13, Trade, 1056.854, 106, B13, S05, 1
B13, Trade, 1059.878, 107, B13, S10, 1
B13, Trade, 1080.463, 98, B13, S01, 1
B13, Trade, 1091.366, 93, B13, S01, 1
B13, Trade, 1113.707, 101, B13, S03, 1
B13, Trade, 1115.756, 102, B13, S05, 1
B13, Trade, 1127.634, 103, B13, S00, 1
B13, Trade, 1129.171, 101, B13, S04, 1
B13, Trade, 1141.171, 95, B13, S05, 1
B13, Trade, 1156.707, 99, B13, S03, 1
B13, Trade, 1165.488, 99, B13, S03, 1
B13, Trade, 1172.683, 106, B13, S02, 1
B13, Trade, 1189.122, 105, B13, S01, 1
B14, 76
B14, Trade, 11.073, 107, S09, B14, 1
B14, Trade, 22.537, 104, S09, B14, 1
B14, Trade, 29.829, 112, S07, B14, 1
B14, Trade, 61.439, 107, S11, B14, 1
B14, Trade, 85.366, 102, S10, B14, 1
B14, Trade, 96.634, 104, S08, B14, 1
B14, Trade, 153.293, 92, S07, B14, 1
B14, Trade, 159.024, 97, S09, B14, 1
B14, Trade, 201.293, 102, S10, B14, 1
B14, Trade, 213.024, 107, S11, B14, 1
B14, Trade, 215.659, 103, S06, B14, 1
B14, Trade, 225.341, 102, S10, B14, 1
B14, Trade, 256.878, 107, S11, B14, 1
B14, Trade, 266.049, 110, S08, B14, 1
B14, Trade, 282.537, 105, S10, B14, 1
B14, Trade, 297.195, 102, S10, B14, 1
B14, Trade, 316.220, 104, S09, B14, 1
B14, Trade, 329.463, 112, B14, S08, 1
B14, Trade, 340.488, 98, S06, B14, 1
B14, Trade, 354.366, 106, S10, B14, 1
B14, Trade, 361.488, 95, S01, B14, 1
B14, Trade, 377.049, 104, S10, B14, 1
B14, Trade, 380.829, 99, B14, S09, 1
B14, Trade, 392.732, 103, S06, B14, 1
B14, Trade, 397.098, 101, S07, B14, 1
B14, Trade, 412.122, 110, S07, B14, 1
B14, Trade, 428.171, 102, S10, B14, 1
B14, Trade, 448.122, 84, B14, S05, 1
B14, Trade, 463.585, 100, S08, B14, 1
B14, Trade, 469.610, 107, S11, B14, 1
B14, Trade, 478.976, 111, S07, B14, 1
B14, Trade, 512.976, 107, S11, B14, 1
B14, Trade, 533.854, 109, S09, B14, 1
B14, Trade, 547.000, 106, S06, B14, 1
B14, Trade, 560.390, 106, B14, S10, 1
B14, Trade, 567.024, 107, S11, B14, 1
B14, Trade, 588.537, 109, B14, S00, 1
B14, Trade, 601.390, 100, S07, B14, 1
B14, Trade, 608.488, 102, S10, B14, 1
B14, Trade, 625.902, 107, S11, B14, 1
B14, Trade, 652.000, 107, B14, S11, 1
B14, Trade, 684.927, 100, S08, B14, 1
B14, Trade, 686.488, 107, S11, B14, 1
B14, Trade, 706.659, 107, S11, B14, 1
B14, Trade, 746.073, 103, B14, S03, 1
B14, Trade, 763.463, 108, S06, B14, 1
B14, Trade, 778.122, 105, S07, B14, 1
B14, Trade, 779.293, 105, S06, B14, 1
B14, Trade, 805.220, 104, S08, B14, 1
B14, Trade, 809.756, 109, S07, B14, 1
