B00, 100
B03, Trade, 2730.976, 124, B03, S00, 1
B03, Trade, 2739.049, 118, B03, S01, 1
B03, Trade, 2754.951, 121, B03, S09, 1
B03, Trade, 2762.024, 114, B03, S14, 1
B03, Trade, 2796.732, 118, B03, S01, 1
B03, Trade, 2804.049, 131, S17, B03, 1
B03, Trade, 2813.878, 117, B03, S08, 1
B03, Trade, 2821.268, 121, S01, B03, 1
B03, Trade, 2831.732, 113, B03, S14, 1
B03, Trade, 2843.220, 121, B03, S13, 1
B03, Trade, 2856.220, 105, B03, S06, 1
B03, Trade, 2858.341, 119, S18, B03, 1
B03, Trade, 2904.268, 115, S17, B03, 1
B03, Trade, 2909.390, 113, S07, B03, 1
B03, Trade, 2920.780, 107, B03, S04, 1
B03, Trade, 2945.024, 96, B03, S03, 1
B03, Trade, 2949.683, 105, S19, B03, 1
B03, Trade, 2963.049, 109, B03, S14, 1
B03, Trade, 2973.854, 105, B03, S09, 1
B03, Trade, 2991.171, 95, B03, S07, 1
B03, Trade, 3005.049, 108, B03, S01, 1
B03, Trade, 3024.317, 105, S17, B03, 1
B03, Trade, 3030.610, 125, B03, S04, 1
B03, Trade, 3036.976, 107, B03, S06, 1
B03, Trade, 3053.512, 110, B03, S02, 1
B03, Trade, 3070.146, 104, S11, B03, 1
B03, Trade, 3097.610, 118, B03, S18, 1
B03, Trade, 3114.000, 109, S01, B03, 1
B03, Trade, 3125.439, 104, B03, S07, 1
B03, Trade, 3139.366, 105, B03, S16, 1
B03, Trade, 3147.732, 102, S06, B03, 1
B03, Trade, 3159.000, 119, S01, B03, 1
B03, Trade, 3177.024, 108, B03, S05, 1
B03, Trade, 3181.683, 110, B03, S06, 1
B03, Trade, 3196.585, 129, S06, B03, 1
B03, Trade, 3219.902, 116, B03, S11, 1
B03, Trade, 3223.780, 129, B03, S12, 1
B03, Trade, 3229.244, 128, S02, B03, 1
B03, Trade, 3247.854, 126, B03, S11, 1
B03, Trade, 3265.756, 129, B03, S04, 1
B03, Trade, 3267.439, 133, S01, B03, 1
B03, Trade, 3284.707, 125, B03, S13, 1
B03, Trade, 3295.439, 134, S14, B03, 1
B03, Trade, 3304.805, 126, B03, S12, 1
B03, Trade, 3312.878, 131, B03, S03, 1
B03, Trade, 3331.463, 131, B03, S18, 1
B03, Trade, 3339.293, 126, B03, S18, 1
B03, Trade, 3342.561, 124, B03, S07, 1
B03, Trade, 3353.610, 122, B03, S00, 1
B03, Trade, 3367.220, 129, B03, S12, 1
B03, Trade, 3376.171, 129, B03, S06, 1
B03, Trade, 3390.683, 125, B03, S03, 1
B03, Trade, 3396.341, 120, S01, B03, 1
B03, Trade, 3403.098, 131, B03, S11, 1
B03, Trade, 3411.049, 127, B03, S00, 1
B03, Trade, 3431.122, 123, S05, B03, 1
B03, Trade, 3442.951, 133, B03, S18, 1
B03, Trade, 3465.171, 120, S00, B03, 1
B03, Trade, 3481.610, 115, B03, S05, 1
B03, Trade, 3484.927, 124, S17, B03, 1
B03, Trade, 3496.561, 124, S11, B03, 1
B03, Trade, 3513.585, 114, S00, B03, 1
B03, Trade, 3523.488, 123, B03, S08, 1
B03, Trade, 3528.976, 127, B03, S12, 1
B03, Trade, 3545.220, 127, B03, S01, 1
B03, Trade, 3553.122, 129, B03, S00, 1
B03, Trade, 3571.000, 113, B03, S01, 1
B03, Trade, 3576.756, 114, B03, S06, 1
B03, Trade, 3586.854, 125, S13, B03, 1
B03, Trade, 3598.683, 121, S19, B03, 1
B04, 100
B04, Trade, 35.854, 163, S05, B04, 1
B04, Trade, 92.780, 173, S06, B04, 1
B04, Trade, 110.244, 164, S17, B04, 1
B04, Trade, 119.756, 169, S18, B04, 1
B04, Trade, 137.171, 169, S11, B04, 1
B04, Trade, 168.512, 162, S04, B04, 1
B04, Trade, 258.000, 173, B04, S19, 1
B04, Trade, 276.000, 167, S04, B04, 1
B04, Trade, 318.171, 162, S04, B04, 1
B04, Trade, 341.951, 164, S01, B04, 1
B04, Trade, 366.293, 162, B04, S00, 1
B04, Trade, 390.561, 162, S05, B04, 1
B04, Trade, 465.683, 158, S00, B04, 1
B04, Trade, 483.268, 163, S18, B04, 1
B04, Trade, 493.415, 176, B04, S18, 1
B04, Trade, 511.220, 167, S05, B04, 1
B04, Trade, 557.976, 160, S07, B04, 1
B04, Trade, 580.780, 161, S07, B04, 1
B04, Trade, 603.439, 162, S15, B04, 1
B04, Trade, 708.171, 165, B04, S18, 1
B04, Trade, 749.366, 168, S19, B04, 1
B04, Trade, 970.610, 166, B04, S05, 1
B04, Trade, 988.634, 170, S01, B04, 1
B04, Trade, 1018.024, 180, S05, B04, 1
B04, Trade, 1061.805, 179, B04, S14, 1
B04, Trade, 1101.317, 175, S16, B04, 1
B04, Trade, 1146.341, 173, S08, B04, 1
B04, Trade, 1147.756, 176, S13, B04, 1
B04, Trade, 1165.073, 180, S06, B04, 1
B04, Trade, 1219.024, 180, B04, S05, 1
B04, Trade, 1273.854, 174, S05, B04, 1
B04, Trade, 1281.561, 167, S05, B04, 1
B04, Trade, 1305.976, 176, B04, S03, 1
B04, Trade, 1324.756, 183, S06, B04, 1
B04, Trade, 1335.805, 176, S16, B04, 1
B04, Trade, 1376.878, 179, S06, B04, 1
B04, Trade, 1393.317, 170, S05, B04, 1
B04, Trade, 1404.098, 164, B04, S07, 1
B04, Trade, 1419.390, 168, B04, S05, 1
B04, Trade, 1445.610, 171, S17, B04, 1
B04, Trade, 1475.854, 168, B04, S02, 1
B04, Trade, 1553.366, 165, S11, B04, 1
B04, Trade, 1589.805, 166, S06, B04, 1
B04, Trade, 1614.902, 156, B04, S01, 1
B04, Trade, 1646.390, 168, S00, B04, 1
B04, Trade, 1650.561, 164, S10, B04, 1
B04, Trade, 1736.610, 167, B04, S09, 1
B04, Trade, 1748.439, 165, S05, B04, 1
B04, Trade, 1763.585, 167, S13, B04, 1
B04, Trade, 1828.341, 166, S17, B04, 1
B04, Trade, 1838.537, 173, S07, B04, 1
B04, Trade, 1855.268, 166, S08, B04, 1
B04, Trade, 1862.854, 171, B04, S04, 1
B04, Trade, 1896.585, 163, S14, B04, 1
B04, Trade, 1947.683, 153, B04, S11, 1
B04, Trade, 2002.634, 153, S05, B04, 1
B04, Trade, 2046.024, 157, S11, B04, 1
B04, Trade, 2110.463, 137, S05, B04, 1
B04, Trade, 2150.366, 147, S05, B04, 1
B04, Trade, 2192.512, 157, S06, B04, 1
B04, Trade, 2296.439, 156, S06, B04, 1
B04, Trade, 2383.585, 145, B04, S07, 1
B04, Trade, 2392.000, 149, S18, B04, 1
B04, Trade, 2404.951, 148, S00, B04, 1
B04, Trade, 2501.098, 135, S06, B04, 1
B04, Trade, 2562.171, 128, B04, S19, 1
B04, Trade, 2622.610, 130, S07, B04, 1
B04, Trade, 2624.951, 127, S14, B04, 1
B04, Trade, 2673.951, 123, S17, B04, 1
B04, Trade, 2678.659, 125, S13, B04, 1
B04, Trade, 2689.805, 130, S11, B04, 1
B04, Trade, 2734.707, 122, S14, B04, 1
B04, Trade, 2750.439, 127, S14, B04, 1
B04, Trade, 2782.854, 119, S18, B04, 1
B04, Trade, 2795.732, 120, S06, B04, 1
B04, Trade, 2882.829, 112, S17, B04, 1
B04, Trade, 2907.659, 110, B04, S06, 1
B04, Trade, 2948.878, 102, S00, B04, 1
B04, Trade, 3016.537, 107, B04, S01, 1
B04, Trade, 3056.390, 114, B04, S17, 1
B04, Trade, 3066.756, 111, S05, B04, 1
B04, Trade, 3079.878, 127, B04, S02, 1
B04, Trade, 3128.878, 108, B04, S13, 1
B04, Trade, 3170.854, 107, S07, B04, 1
B04, Trade, 3179.951, 109, B04, S03, 1
B04, Trade, 3207.439, 116, B04, S04, 1
B04, Trade, 3241.390, 130, S17, B04, 1
B04, Trade, 3254.634, 136, S19, B04, 1
B04, Trade, 3292.488, 126, B04, S07, 1
B04, Trade, 3293.000, 128, S18, B04, 1
B04, Trade, 3316.146, 127, S00, B04, 1
B04, Trade, 3354.829, 127, S02, B04, 1
B04, Trade, 3362.512, 136, S17, B04, 1
B04, Trade, 3384.854, 133, S07, B04, 1
B04, Trade, 3396.024, 129, S11, B04, 1
B04, Trade, 3453.122, 124, S07, B04, 1
B04, Trade, 3492.756, 123, S18, B04, 1
B04, Trade, 3508.268, 120, S18, B04, 1
B04, Trade, 3518.268, 124, S14, B04, 1
B04, Trade, 3583.512, 118, S17, B04, 1
B05, 100
B05, Trade, 2169.415, 145, S11, B05, 1
B05, Trade, 2195.390, 151, B05, S09, 1
B05, Trade, 2197.146, 152, S17, B05, 1
B05, Trade, 2214.512, 148, S01, B05, 1
B05, Trade, 2248.780, 134, B05, S04, 1
B05, Trade, 2263.463, 154, B05, S17, 1
B05, Trade, 2272.366, 146, S13, B05, 1
B05, Trade, 2293.439, 143, B05, S05, 1
B05, Trade, 2301.366, 151, B05, S04, 1
B05, Trade, 2304.561, 152, S15, B05, 1
B05, Trade, 2321.390, 149, B05, S17, 1
B05, Trade, 2325.878, 142, S05, B05, 1
B05, Trade, 2346.829, 152, S06, B05, 1
B05, Trade, 2359.951, 142, B05, S01, 1
B05, Trade, 2371.146, 143, B05, S05, 1
B05, Trade, 2374.854, 143, B05, S07, 1
B05, Trade, 2388.220, 146, S05, B05, 1
B05, Trade, 2403.634, 141, B05, S05, 1
B05, Trade, 2433.512, 135, B05, S00, 1
B05, Trade, 2441.829, 137, B05, S04, 1
B05, Trade, 2449.878, 139, B05, S07, 1
B05, Trade, 2462.659, 141, B05, S17, 1
B05, Trade, 2474.780, 141, S06, B05, 1
B05, Trade, 2498.976, 132, B05, S12, 1
B05, Trade, 2508.829, 135, S01, B05, 1
B05, Trade, 2519.683, 133, S13, B05, 1
B05, Trade, 2523.634, 135, S18, B05, 1
B05, Trade, 2547.659, 123, B05, S07, 1
B05, Trade, 2549.171, 137, S06, B05, 1
B05, Trade, 2563.878, 128, B05, S10, 1
B05, Trade, 2571.390, 130, S14, B05, 1
B05, Trade, 2614.488, 137, S18, B05, 1
B05, Trade, 2628.902, 133, B05, S09, 1
B05, Trade, 2642.756, 130, B05, S01, 1
B05, Trade, 2653.073, 129, B05, S01, 1
B05, Trade, 2667.366, 122, S11, B05, 1
B05, Trade, 2680.073, 121, B05, S19, 1
B05, Trade, 2710.000, 119, B05, S06, 1
B05, Trade, 2720.220, 110, S14, B05, 1
B05, Trade, 2744.073, 123, S00, B05, 1
B05, Trade, 2762.927, 123, B05, S00, 1
B05, Trade, 2775.000, 123, S16, B05, 1
B05, Trade, 2791.293, 119, B05, S06, 1
B05, Trade, 2800.561, 128, B05, S13, 1
B05, Trade, 2808.439, 122, B05, S12, 1
B05, Trade, 2825.171, 116, S17, B05, 1
B05, Trade, 2840.220, 118, B05, S16, 1
B05, Trade, 2845.146, 114, B05, S11, 1
B05, Trade, 2860.951, 119, S07, B05, 1
B05, Trade, 2869.951, 108, B05, S17, 1
B05, Trade, 2879.341, 115, S18, B05, 1
B05, Trade, 2892.268, 109, B05, S13, 1
B05, Trade, 2917.293, 107, B05, S01, 1
B05, Trade, 2929.561, 113, S07, B05, 1
