B03, Trade, 1188.462, 173, S07, B03, 1
B03, Trade, 1201.462, 167, S03, B03, 1
B03, Trade, 1213.577, 178, B03, S00, 1
B03, Trade, 1225.577, 166, S08, B03, 1
B03, Trade, 1241.500, 162, B03, S04, 1
B03, Trade, 1252.962, 176, B03, S10, 1
B03, Trade, 1263.346, 174, S01, B03, 1
B03, Trade, 1275.038, 177, S03, B03, 1
B03, Trade, 1284.038, 169, B03, S00, 1
B03, Trade, 1305.385, 168, B03, S04, 1
B03, Trade, 1320.077, 174, B03, S08, 1
B03, Trade, 1342.115, 166, S08, B03, 1
B03, Trade, 1350.538, 181, B03, S04, 1
B03, Trade, 1385.115, 156, B03, S01, 1
B03, Trade, 1387.615, 161, S08, B03, 1
B03, Trade, 1392.000, 166, S08, B03, 1
B03, Trade, 1400.769, 173, B03, S08, 1
B03, Trade, 1418.538, 166, B03, S02, 1
B03, Trade, 1431.038, 174, S02, B03, 1
B03, Trade, 1444.038, 167, B03, S02, 1
B03, Trade, 1457.500, 171, S05, B03, 1
B03, Trade, 1470.885, 170, S00, B03, 1
B03, Trade, 1492.538, 165, S00, B03, 1
B03, Trade, 1508.346, 166, B03, S05, 1
B03, Trade, 1509.423, 166, S03, B03, 1
B03, Trade, 1538.154, 190, B03, S00, 1
B03, Trade, 1551.192, 171, B03, S09, 1
B03, Trade, 1560.885, 182, B03, S04, 1
B03, Trade, 1566.731, 173, B03, S10, 1
B03, Trade, 1579.192, 168, S03, B03, 1
B03, Trade, 1588.000, 174, S05, B03, 1
B03, Trade, 1592.423, 170, B03, S02, 1
B03, Trade, 1606.385, 165, B03, S08, 1
B03, Trade, 1613.231, 174, S10, B03, 1
B03, Trade, 1631.000, 174, B03, S10, 1
B03, Trade, 1649.538, 171, S00, B03, 1
B03, Trade, 1668.000, 171, S03, B03, 1
B03, Trade, 1690.615, 177, S05, B03, 1
B03, Trade, 1695.808, 168, B03, S09, 1
B03, Trade, 1714.846, 190, B03, S08, 1
B03, Trade, 1725.577, 181, B03, S00, 1
B03, Trade, 1737.769, 178, S00, B03, 1
B03, Trade, 1744.808, 177, S03, B03, 1
B03, Trade, 1758.538, 168, B03, S02, 1
B03, Trade, 1763.308, 171, S07, B03, 1
B03, Trade, 1778.769, 175, B03, S11, 1
B03, Trade, 1785.154, 163, B03, S03, 1
B03, Trade, 1796.731, 168, B03, S05, 1
B03, Trade, 1807.038, 173, B03, S04, 1
B03, Trade, 1838.077, 171, S07, B03, 1
B03, Trade, 1850.885, 173, B03, S07, 1
B03, Trade, 1863.115, 185, S07, B03, 1
B03, Trade, 1881.462, 173, S00, B03, 1
B03, Trade, 1900.654, 164, S06, B03, 1
B03, Trade, 1916.769, 171, S01, B03, 1
B03, Trade, 1929.000, 176, S10, B03, 1
B03, Trade, 1941.692, 158, B03, S06, 1
B03, Trade, 1942.692, 169, S05, B03, 1
B03, Trade, 1962.115, 170, B03, S00, 1
B03, Trade, 1979.231, 164, B03, S04, 1
B03, Trade, 1997.462, 175, B03, S02, 1
B03, Trade, 2005.962, 162, B03, S01, 1
B03, Trade, 2050.385, 170, B03, S01, 1
B03, Trade, 2058.962, 163, S07, B03, 1
B03, Trade, 2067.231, 177, S07, B03, 1
B03, Trade, 2073.346, 173, S04, B03, 1
B03, Trade, 2093.154, 167, S08, B03, 1
B03, Trade, 2124.923, 167, S03, B03, 1
B03, Trade, 2136.308, 172, S03, B03, 1
B03, Trade, 2152.462, 174, S03, B03, 1
B03, Trade, 2162.269, 168, B03, S02, 1
B03, Trade, 2178.462, 171, S03, B03, 1
B03, Trade, 2203.692, 164, B03, S10, 1
B03, Trade, 2209.308, 171, S05, B03, 1
B03, Trade, 2231.000, 170, S03, B03, 1
B03, Trade, 2253.846, 168, B03, S10, 1
B03, Trade, 2255.538, 170, S00, B03, 1
B03, Trade, 2264.115, 168, S07, B03, 1
B03, Trade, 2275.154, 171, S07, B03, 1
B03, Trade, 2292.923, 162, B03, S04, 1
B03, Trade, 2299.615, 166, S10, B03, 1
B03, Trade, 2314.077, 168, S07, B03, 1
B03, Trade, 2318.846, 160, B03, S02, 1
B03, Trade, 2343.808, 160, B03, S01, 1
B03, Trade, 2345.115, 167, S03, B03, 1
B03, Trade, 2354.577, 165, B03, S04, 1
B03, Trade, 2368.077, 175, B03, S03, 1
B03, Trade, 2372.923, 159, B03, S10, 1
B03, Trade, 2398.231, 163, S08, B03, 1
B03, Trade, 2412.846, 167, S05, B03, 1
B03, Trade, 2428.462, 169, B03, S02, 1
B03, Trade, 2442.962, 158, S00, B03, 1
B03, Trade, 2458.308, 166, S04, B03, 1
B03, Trade, 2469.269, 175, S01, B03, 1
B03, Trade, 2489.923, 162, S02, B03, 1
B03, Trade, 2509.462, 161, S02, B03, 1
B03, Trade, 2524.346, 166, S05, B03, 1
B03, Trade, 2529.692, 168, S06, B03, 1
B03, Trade, 2539.731, 170, S00, B03, 1
B03, Trade, 2548.538, 166, S01, B03, 1
B03, Trade, 2560.423, 158, S03, B03, 1
