B00, 0
B01, 0
B02, 1
B07, Trade, 2702.737, 121, B07, S04, 1
B07, Trade, 2758.158, 121, B07, S00, 1
B07, Trade, 2810.263, 121, B07, S03, 1
B07, Trade, 2846.316, 122, B07, S04, 1
B07, Trade, 2866.368, 121, B07, S02, 1
B07, Trade, 2907.579, 117, S04, B07, 1
B07, Trade, 2977.526, 121, B07, S03, 1
B07, Trade, 3008.316, 121, B07, S03, 1
B07, Trade, 3027.053, 121, B07, S02, 1
B07, Trade, 3058.000, 121, B07, S00, 1
B07, Trade, 3088.421, 121, B07, S03, 1
B07, Trade, 3127.158, 121, B07, S03, 1
B07, Trade, 3162.526, 121, B07, S02, 1
B07, Trade, 3205.263, 121, B07, S02, 1
B07, Trade, 3241.789, 121, B07, S02, 1
B07, Trade, 3248.211, 122, B07, S03, 1
B07, Trade, 3285.789, 121, B07, S03, 1
B07, Trade, 3303.421, 118, S01, B07, 1
B07, Trade, 3334.895, 121, B07, S02, 1
B07, Trade, 3368.263, 122, B07, S00, 1
B07, Trade, 3401.895, 122, B07, S02, 1
B07, Trade, 3478.579, 121, B07, S02, 1
B07, Trade, 3491.842, 121, B07, S00, 1
B07, Trade, 3503.158, 121, B07, S03, 1
B07, Trade, 3551.000, 119, S01, B07, 1
B07, Trade, 3564.211, 119, S01, B07, 1
B07, Trade, 3603.316, 121, B07, S03, 1
B07, Trade, 3632.421, 121, B07, S00, 1
B07, Trade, 3669.895, 121, B07, S02, 1
B07, Trade, 3729.105, 121, B07, S04, 1
B07, Trade, 3778.895, 121, B07, S02, 1
B07, Trade, 3807.789, 121, B07, S03, 1
B07, Trade, 3846.842, 117, S04, B07, 1
B07, Trade, 3869.474, 121, B07, S02, 1
B07, Trade, 3917.526, 121, B07, S04, 1
B07, Trade, 3929.263, 121, B07, S03, 1
B07, Trade, 3992.421, 122, B07, S02, 1
B07, Trade, 4015.947, 121, B07, S00, 1
B07, Trade, 4079.368, 121, B07, S03, 1
B07, Trade, 4126.684, 121, B07, S02, 1
B07, Trade, 4156.737, 121, B07, S00, 1
B07, Trade, 4242.211, 121, B07, S02, 1
B07, Trade, 4268.368, 117, S04, B07, 1
B07, Trade, 4292.053, 122, B07, S04, 1
B07, Trade, 4323.737, 121, B07, S03, 1
B07, Trade, 4348.684, 117, S04, B07, 1
B07, Trade, 4429.105, 121, B07, S02, 1
B07, Trade, 4457.789, 121, B07, S04, 1
B07, Trade, 4510.842, 121, B07, S00, 1
B07, Trade, 4519.579, 117, S01, B07, 1
B07, Trade, 4569.789, 121, B07, S02, 1
B07, Trade, 4580.895, 121, B07, S02, 1
B07, Trade, 4611.316, 112, S01, B07, 1
B07, Trade, 4647.947, 121, B07, S00, 1
B07, Trade, 4692.737, 121, B07, S02, 1
B07, Trade, 4700.737, 121, B07, S04, 1
B07, Trade, 4745.947, 121, B07, S03, 1
B07, Trade, 4760.526, 121, B07, S03, 1
B07, Trade, 4785.895, 117, S01, B07, 1
B07, Trade, 4834.474, 121, B07, S03, 1
B07, Trade, 4854.421, 121, B07, S02, 1
B07, Trade, 4888.474, 121, B07, S02, 1
B07, Trade, 4930.684, 121, B07, S00, 1
B07, Trade, 4940.526, 121, S01, B07, 1
B07, Trade, 4974.947, 122, B07, S00, 1
B07, Trade, 5020.263, 122, B07, S00, 1
B07, Trade, 5072.316, 121, B07, S00, 1
B07, Trade, 5111.632, 122, B07, S03, 1
B07, Trade, 5141.684, 121, B07, S00, 1
B07, Trade, 5173.789, 121, B07, S02, 1
B07, Trade, 5177.895, 121, B07, S01, 1
B07, Trade, 5234.895, 121, B07, S00, 1
B07, Trade, 5265.684, 121, B07, S02, 1
B07, Trade, 5287.368, 121, B07, S04, 1
B07, Trade, 5315.158, 121, B07, S00, 1
B07, Trade, 5352.421, 117, S04, B07, 1
B07, Trade, 5355.158, 122, B07, S02, 1
B07, Trade, 5401.211, 121, B07, S02, 1
B07, Trade, 5422.842, 121, B07, S02, 1
B07, Trade, 5476.789, 121, B07, S04, 1
B07, Trade, 5494.789, 121, S01, B07, 1
B07, Trade, 5549.105, 121, B07, S00, 1
B07, Trade, 5562.895, 117, S04, B07, 1
B07, Trade, 5569.474, 116, S01, B07, 1
B07, Trade, 5625.895, 121, B07, S01, 1
B07, Trade, 5642.579, 122, S01, B07, 1
B07, Trade, 5682.684, 122, B07, S02, 1
B07, Trade, 5711.632, 122, S01, B07, 1
B07, Trade, 5742.211, 121, B07, S02, 1
B07, Trade, 5760.789, 121, B07, S00, 1
B07, Trade, 5810.316, 121, B07, S03, 1
B07, Trade, 5832.789, 110, S01, B07, 1
B07, Trade, 5865.158, 121, B07, S00, 1
B07, Trade, 5917.368, 121, B07, S01, 1
B07, Trade, 5949.474, 121, B07, S02, 1
B07, Trade, 5985.316, 117, S04, B07, 1
B08, 193
B08, Trade, 25.842, 129, B08, S00, 1
B08, Trade, 52.000, 129, B08, S00, 1
B08, Trade, 68.895, 129, B08, S01, 1
B08, Trade, 119.895, 121, S01, B08, 1
B08, Trade, 132.579, 129, B08, S00, 1
B08, Trade, 160.789, 127, S04, B08, 1
B08, Trade, 211.947, 130, B08, S00, 1
B08, Trade, 227.526, 110, S01, B08, 1
B08, Trade, 266.316, 129, B08, S02, 1
B08, Trade, 289.053, 130, B08, S00, 1
B08, Trade, 315.737, 113, S01, B08, 1
B08, Trade, 360.263, 129, B08, S03, 1
B08, Trade, 384.632, 129, B08, S03, 1
B08, Trade, 435.000, 129, B08, S01, 1
B08, Trade, 457.895, 129, B08, S03, 1
B08, Trade, 516.105, 129, B08, S01, 1
B08, Trade, 533.579, 117, S04, B08, 1
B08, Trade, 571.842, 129, B08, S03, 1
B08, Trade, 602.632, 129, B08, S04, 1
B08, Trade, 632.263, 129, B08, S02, 1
B08, Trade, 657.789, 129, B08, S00, 1
B08, Trade, 696.368, 129, B08, S01, 1
B08, Trade, 718.053, 127, S04, B08, 1
B08, Trade, 751.632, 126, S04, B08, 1
B08, Trade, 793.158, 129, B08, S01, 1
B08, Trade, 811.737, 129, B08, S03, 1
B08, Trade, 827.947, 127, S01, B08, 1
B08, Trade, 857.474, 129, B08, S00, 1
B08, Trade, 900.526, 129, B08, S03, 1
B08, Trade, 932.053, 129, B08, S01, 1
B08, Trade, 956.842, 129, B08, S03, 1
B08, Trade, 971.053, 129, B08, S03, 1
B08, Trade, 1023.947, 129, B08, S02, 1
B08, Trade, 1033.842, 127, S04, B08, 1
B08, Trade, 1082.316, 129, B08, S01, 1
B08, Trade, 1116.895, 129, B08, S03, 1
B08, Trade, 1131.526, 121, S01, B08, 1
B08, Trade, 1173.474, 129, B08, S01, 1
B08, Trade, 1193.368, 129, B08, S02, 1
B08, Trade, 1239.895, 129, B08, S05, 1
B08, Trade, 1263.053, 128, S01, B08, 1
B08, Trade, 1302.105, 129, B08, S00, 1
B08, Trade, 1308.316, 129, B08, S01, 1
B08, Trade, 1329.632, 130, B08, S03, 1
B08, Trade, 1367.316, 125, S01, B08, 1
B08, Trade, 1400.737, 129, B08, S02, 1
B08, Trade, 1430.368, 128, S01, B08, 1
B08, Trade, 1468.684, 129, B08, S03, 1
B08, Trade, 1499.895, 126, S01, B08, 1
B08, Trade, 1522.789, 129, B08, S00, 1
B08, Trade, 1545.421, 129, B08, S03, 1
B08, Trade, 1588.053, 117, S04, B08, 1
B08, Trade, 1614.526, 129, B08, S00, 1
B08, Trade, 1648.105, 125, S01, B08, 1
B08, Trade, 1681.579, 129, B08, S03, 1
B08, Trade, 1702.684, 116, S01, B08, 1
B08, Trade, 1720.684, 116, S01, B08, 1
B08, Trade, 1758.053, 129, B08, S04, 1
B08, Trade, 1803.263, 107, S03, B08, 1
B08, Trade, 1834.263, 117, S04, B08, 1
B08, Trade, 1866.000, 129, B08, S02, 1
B08, Trade, 1882.526, 129, B08, S03, 1
B08, Trade, 1925.368, 129, B08, S02, 1
B08, Trade, 1950.105, 129, B08, S03, 1
B08, Trade, 1976.526, 129, B08, S00, 1
B08, Trade, 1997.632, 125, S04, B08, 1
B08, Trade, 2040.105, 130, B08, S01, 1
B08, Trade, 2069.947, 129, B08, S02, 1
B08, Trade, 2089.579, 129, B08, S03, 1
B08, Trade, 2137.947, 129, B08, S00, 1
B08, Trade, 2162.842, 129, B08, S02, 1
B08, Trade, 2204.105, 129, B08, S03, 1
B08, Trade, 2226.684, 129, B08, S02, 1
B08, Trade, 2246.368, 129, B08, S04, 1
B08, Trade, 2282.211, 125, S01, B08, 1
B08, Trade, 2316.737, 129, B08, S02, 1
B08, Trade, 2326.316, 129, B08, S00, 1
B08, Trade, 2367.158, 129, B08, S00, 1
B08, Trade, 2393.947, 129, B08, S02, 1
B08, Trade, 2409.368, 125, S04, B08, 1
B08, Trade, 2450.105, 129, B08, S00, 1
B08, Trade, 2473.526, 128, S00, B08, 1
B08, Trade, 2512.632, 129, B08, S02, 1
B08, Trade, 2555.263, 122, S04, B08, 1
B08, Trade, 2572.421, 130, B08, S00, 1
B08, Trade, 2608.737, 129, B08, S01, 1
B08, Trade, 2652.526, 129, B08, S04, 1
B08, Trade, 2662.105, 120, S01, B08, 1
B08, Trade, 2705.316, 121, S01, B08, 1
B08, Trade, 2725.579, 129, B08, S00, 1
B08, Trade, 2753.053, 129, B08, S04, 1
B08, Trade, 2787.684, 107, S03, B08, 1
B08, Trade, 2821.211, 129, B08, S05, 1
B08, Trade, 2852.211, 123, S01, B08, 1
B08, Trade, 2882.895, 123, S01, B08, 1
B08, Trade, 2917.684, 117, S01, B08, 1
B08, Trade, 2935.474, 129, B08, S00, 1
B08, Trade, 2958.368, 129, B08, S04, 1
B08, Trade, 3002.316, 129, B08, S04, 1
B08, Trade, 3035.105, 124, S04, B08, 1
B08, Trade, 3079.895, 129, B08, S04, 1
B08, Trade, 3105.263, 129, B08, S01, 1
B08, Trade, 3143.684, 129, B08, S02, 1
B08, Trade, 3183.211, 129, B08, S03, 1
B08, Trade, 3202.632, 123, S04, B08, 1
B08, Trade, 3241.421, 129, B08, S00, 1
B08, Trade, 3264.211, 129, S01, B08, 1
B08, Trade, 3302.579, 117, S04, B08, 1
B08, Trade, 3317.579, 129, B08, S01, 1
B08, Trade, 3364.158, 129, B08, S03, 1
B08, Trade, 3372.158, 129, B08, S02, 1
B08, Trade, 3416.579, 117, S04, B08, 1
B08, Trade, 3457.684, 129, B08, S03, 1
B08, Trade, 3471.316, 129, B08, S01, 1
B08, Trade, 3512.474, 129, B08, S02, 1
B08, Trade, 3528.158, 130, B08, S00, 1
B08, Trade, 3578.947, 129, B08, S04, 1
B08, Trade, 3609.421, 121, S04, B08, 1
B08, Trade, 3643.158, 130, B08, S01, 1
B08, Trade, 3697.526, 125, S01, B08, 1
B08, Trade, 3708.737, 129, B08, S03, 1
B08, Trade, 3768.316, 129, B08, S04, 1
B08, Trade, 3789.053, 120, S01, B08, 1
B08, Trade, 3815.737, 129, B08, S02, 1
B08, Trade, 3859.211, 129, B08, S00, 1
B08, Trade, 3885.368, 129, B08, S01, 1
B08, Trade, 3898.105, 129, B08, S02, 1
B08, Trade, 3922.474, 129, B08, S00, 1
B08, Trade, 3983.842, 129, B08, S03, 1
B08, Trade, 4031.789, 129, B08, S01, 1
B08, Trade, 4056.211, 120, S01, B08, 1
B08, Trade, 4071.053, 130, B08, S00, 1
B08, Trade, 4104.526, 117, S04, B08, 1
B08, Trade, 4151.263, 129, B08, S02, 1
B08, Trade, 4172.158, 129, B08, S01, 1
B08, Trade, 4211.474, 129, B08, S03, 1
B08, Trade, 4237.895, 129, B08, S02, 1
B08, Trade, 4255.789, 117, S01, B08, 1
B08, Trade, 4298.263, 125, S01, B08, 1
B08, Trade, 4329.737, 116, S01, B08, 1
B08, Trade, 4362.684, 130, B08, S00, 1
B08, Trade, 4381.526, 117, S04, B08, 1
B08, Trade, 4399.947, 129, B08, S00, 1
B08, Trade, 4450.105, 129, B08, S05, 1
B08, Trade, 4481.105, 129, B08, S00, 1
B08, Trade, 4508.579, 129, B08, S01, 1
