B00, 0
B01, 0
B02, 0
B03, 0
B09, Trade, 3557.474, 127, S04, B09, 1
B09, Trade, 3585.526, 140, S05, B09, 1
B09, Trade, 3617.158, 142, B09, S04, 1
B09, Trade, 3660.684, 126, S01, B09, 1
B09, Trade, 3694.368, 128, S05, B09, 1
B09, Trade, 3715.632, 142, B09, S04, 1
B09, Trade, 3744.316, 128, S05, B09, 1
B09, Trade, 3767.053, 122, S02, B09, 1
B09, Trade, 3810.474, 123, S02, B09, 1
B09, Trade, 3820.263, 128, S05, B09, 1
B09, Trade, 3855.158, 142, B09, S02, 1
B09, Trade, 3895.105, 128, S05, B09, 1
B09, Trade, 3909.579, 107, S03, B09, 1
B09, Trade, 3949.526, 141, S05, B09, 1
B09, Trade, 3972.684, 135, S02, B09, 1
B09, Trade, 4008.684, 128, S01, B09, 1
B09, Trade, 4054.474, 118, S01, B09, 1
B09, Trade, 4073.579, 142, B09, S05, 1
B09, Trade, 4106.158, 128, S05, B09, 1
B09, Trade, 4135.105, 142, B09, S03, 1
B09, Trade, 4179.053, 122, S04, B09, 1
B09, Trade, 4209.737, 128, S05, B09, 1
B09, Trade, 4228.316, 142, B09, S04, 1
B09, Trade, 4268.842, 128, S01, B09, 1
B09, Trade, 4299.579, 121, S01, B09, 1
B09, Trade, 4306.526, 141, S05, B09, 1
B09, Trade, 4331.632, 122, S01, B09, 1
B09, Trade, 4375.105, 142, B09, S06, 1
B09, Trade, 4402.053, 114, S01, B09, 1
B09, Trade, 4442.158, 142, B09, S00, 1
B09, Trade, 4467.211, 142, B09, S01, 1
B09, Trade, 4485.368, 131, S05, B09, 1
B09, Trade, 4537.474, 139, S04, B09, 1
B09, Trade, 4553.947, 119, S01, B09, 1
B09, Trade, 4597.316, 142, B09, S00, 1
B09, Trade, 4606.053, 142, S02, B09, 1
B09, Trade, 4636.158, 124, S01, B09, 1
B09, Trade, 4680.158, 142, B09, S04, 1
B09, Trade, 4721.316, 142, B09, S02, 1
B09, Trade, 4740.263, 142, B09, S01, 1
B09, Trade, 4763.737, 123, S01, B09, 1
B09, Trade, 4809.789, 130, S01, B09, 1
B09, Trade, 4828.316, 130, S01, B09, 1
B09, Trade, 4871.053, 128, S05, B09, 1
B09, Trade, 4877.000, 142, B09, S02, 1
B09, Trade, 4903.316, 142, B09, S06, 1
B09, Trade, 4952.368, 142, B09, S05, 1
B09, Trade, 4973.368, 131, S05, B09, 1
